IMO Data Number, Data Element, Definition
IMO0138,"Ship flag State, coded",A code representing the nationality of the ship shown on its IMO ship’s certificate.
IMO0139,Ship gross tonnage,The gross tonnage shown on the ship's International Tonnage Certificate or other document issued by the flag State or recognized organization.
IMO0140,Ship IMO number,The ship identification number shown on its IMO ship’s certificate.
IMO0141,Ship satellite service number,The recognized mobile satellite service call number assigned to the ship by the operator and recorded in the operator's ship directory where provided.
IMO0142,Ship name,The ship’s name shown on the IMO ship’s certificates.
IMO0143,Ship net tonnage,The net tonnage shown on the ship's International Tonnage Certificate or other document issued by the Flag State or Recognized Organization.
IMO0144,Location in port,"The name of the berth, terminal or station where the ship is located in the referenced port."
IMO0145,Certificate issue date,The date the certificate was issued.
IMO0145,Certificate issue date,The date the certificate was issued.
IMO0147,"Ship registry port, coded",A code representing the port of registry shown on the IMO ship certificate.
IMO0148,Ship registry port name,The name and country for the Port of Registry shown on the IMO ship certificate.
IMO0149,"Ship security level in a previous port, coded",A code representing the security level of the ship in a previous port as defined by the ISPS Code.
IMO0150,"Ship security measures, coded ",A code representing the security measures taken during ship-to-ship activity by the ship in lieu of the ship security procedures.
IMO0151,Ship security measures,A description of the security measures taken during ship-to-ship activity by the ship in lieu of the ship security procedures.
IMO0153,Ship stay reference number,Reference number assigned by a port authority to the stay of a ship in the port.
IMO0154,Ship stores article name,The name of the referenced ship stores article.
IMO0155,"Ship stores article, coded ",A code representing the referenced ship stores article.
IMO0156,Ship stores location onboard description,A description of the location on the ship of the referenced stores article.
IMO0158,Ship stores onboard quantity,"The number, count or amount of an article of the referenced ship stores."
IMO0159,Ship stores sequence number,A sequence number indicating the order of the referenced ship stores article in a list.
IMO0160,"Ship type, coded",The type of the ship.
IMO0161,"Ship-to-ship activity, coded ",A code representing the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0162,Ship-to-ship activity description,A description of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0163,Ship-to-ship activity end date,The end date of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0164,Ship-to-ship activity location name,The name and country to describe where the ship-to-ship activity has been carried out during the period of the last ten calls.
IMO0165,Ship-to-ship activity sequence number,A sequence number indicating the order of ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0166,Ship-to-ship activity start date,The start date of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0167,"Ship-to-ship activity location, coded",A code representing the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0168,Subsequent port of call name,The name and country of a scheduled subsequent port of call.
IMO0169,"Subsequent port of call, coded",A code representing a scheduled subsequent port of call.
IMO0170,Transport contract number,A reference number to identify a document evidencing a transport contract (e.g. Bill of Lading).
IMO0172,"Primary purpose of call, coded",A code representing the primary reason for the ship to enter the referenced port.
IMO0173,Waste estimated amount to be generated volume,The estimated volume of waste to be generated between notification and next port of call (m3).
IMO0174,Waste amount to be delivered volume,The volume of waste the ship plans to deliver (m3).
IMO0175,Waste amount retained volume,The volume of waste the ship plans to retain onboard (m3).
IMO0178,All waste delivery indicator,A “yes/no” indicator whether the ship is delivering all waste onboard the ship.
IMO0179,Waste last delivery date,The last date when waste of any type was delivered.
IMO0180,Waste maximum dedicated storage capacity,Maximum dedicated storage capacity onboard for this type of waste in cubic metres (m3).
IMO0181,Waste reception facility point of contact,The name of the person to contact at the waste reception facility regarding ship waste delivery.
IMO0183,"Waste type, coded ",A code representing the type of waste being delivered.
IMO0184,"Port facility, coded",A code representing the port facility at the port of call.
IMO0185,Port facility name,The name and country of a port facility at the port of call.
IMO0186,Dangerous goods additional information,A statement of any other information relevant to the characteristics or hazards of the referenced dangerous goods cargo item.
IMO0187,"Dangerous goods package type, coded",A code representing the package type of the referenced dangerous goods.
IMO0188,Previous port facility name,The name and country of a previous port facility called at during a previous port call.
IMO0189,"Previous port facility, coded",A code representing a previous port facility called at during a previous port call.
IMO0190,Waste description,A description of the waste being delivered.
IMO0191,Voyage number,An operator-assigned reference code for the ship's voyage.
IMO0192,"Message type, coded",Code specifying the name of a message type.
IMO0194,"Ship-to-ship activity location, latitude",The latitude (geographical coordinate) of the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0195,"Ship-to-ship activity location, longitude",The longitude (geographical coordinate) of the location of the ship-to-ship activity which has been carried out during the period of the last ten calls.
IMO0196,General declaration remarks,"Statement of any other information relevant to ship arrival, stay or departure."
IMO0197,Vehicle identification number (VIN),The alphanumeric identifier assigned by the manufacturer to identify a vehicle e.g. for tracking purposes.
IMO0197,Vehicle identification number (VIN),The alphanumeric identifier assigned by the manufacturer to identify a vehicle e.g. for tracking purposes.
IMO0198,"Dangerous goods regulation, coded","Code specifying a dangerous goods regulatory instrument, such as IMDG, IBC, etc."
IMO0200,"Certificate issue location, coded",The code representing the location where the certificate was issued.
IMO0200,"Certificate issue location, coded",The code representing the location where the certificate was issued.
IMO0202,Re-inspection required indicator,"A ""yes/no"" indicator whether re-inspection is required."
IMO0203,Visited affected area indicator,"A ""yes/no"" indicator whether the ship visited an affected area identified by the World Health Organization."
IMO0204,"Port of call in affected area, coded",Port of call in an affected area as identified by the World Health Organization.
IMO0205,Date of call in affected area,Date of the call in an affected area as identified by the World Health Organization.
IMO0206,Person died indicator,"A ""yes/no"" indicator whether any person died onboard during the international voyage otherwise than as a result of accident."
IMO0207,Disease onboard indicator,"A ""yes/no"" indicator whether there is, or has been during the international voyage, any case of disease which you suspect to be of an infectious nature."
IMO0208,Ill persons greater than expected indicator,"A ""yes/no"" indicator whether the total number of ill passengers during the international voyage has been greater than normal/expected."
IMO0209,Ill persons now indicator,"A ""yes/no"" indicator whether there is any ill person onboard now."
IMO0210,Medical practioner consulted indicator,"A ""yes/no"" indicator whether there is any ill person onboard now."
IMO0211,Infection condition onboard indicator,"A ""yes/no"" indicator whether you are aware of any condition onboard which may lead to infection or spread of disease."
IMO0212,Sanitary measure applied indicator,"A ""yes/no"" indicator whether any sanitary measure (e.g. quarantine, isolation, disinfection or decontamination) has been applied onboard."
IMO0213,Sanitary measure description,Description of the sanitary measure applied.
IMO0214,"Sanitary measure, place",Place of applied sanitary measure.
IMO0215,"Sanitary measure, date",Date of applied sanitary measure.
IMO0216,Stowaway found indicator,"A ""yes/no"" indicator whether any stowaways have been found onboard. yes/no indicator whether any sanitary measure (e.g. quarantine, isolation, disinfection or decontamination) has been applied onboard."
IMO0217,"Port stowaways joined ship, coded",Port where the stowaways joined the ship (if known).
IMO0218,Sick animal indicator,"A ""yes/no"" indicator whether there is a sick animal or pet onboard."
IMO0219,Person embarkation date and time - actual,The actual date and time when the person embarked the ship by invitation or boarded without invitation.
IMO0220,Illness,Nature of illness.
IMO0221,Symptoms onset date,Date of onset of symptoms.
IMO0222,Health status reported indicator,"A ""yes/no"" indicator that the person health status is reported to a port medical officer/radio medical services."
IMO0223,"Health status, coded","A code indicating whether the person recovered, is still ill or died."
IMO0224,"Case disposition, coded","A code indicating the disposition of the case: person or body still onboard, was evacuated, or was buried at sea."
IMO0225,Location of evacuation name,The name of the port or airport to which the person was evacuated.
IMO0226,"Location of evacuation, coded",The code of the port or airport to which the person was evacuated.
IMO0227,Treatment,"Drugs, medicines or other treatment given to patient."
IMO0228,Person health details comments,Comments on the specific case in the Maritime Declaration of Health attachment.
IMO0229,Anchorage name,A name used to identify an anchorage. An anchorage is defined as an area in which vessels anchor or may anchor. (IHO Concept Register).
IMO0229,Anchorage name,A name used to identify an anchorage. An anchorage is defined as an area in which vessels anchor or may anchor. (IHO Concept Register).
IMO0230,Terminal name,A name used to identify a terminal. A terminal covers that area on shore which provides buildings and constructions for the transfer of cargo or passengers from and to ships. (IHO Concept register).
IMO0230,Terminal name,A name used to identify a terminal. A terminal covers that area on shore which provides buildings and constructions for the transfer of cargo or passengers from and to ships. (IHO Concept register).
IMO0231,Pilot Boarding Place name,"The name, number or description used to identify a Pilot boarding place. A Pilot boarding place is the location offshore where a pilot may board a vessel in preparation to piloting it through local waters. (IHO Concept register)."
IMO0231,Pilot boarding place name,"A name, number or description used to identify a Pilot boarding place. A Pilot boarding place is the location offshore where a pilot may board a vessel in preparation to piloting it through local waters. (IHO Concept register)."
IMO0232,Berth name,"A name used to identify a berth. A berth is defined as a place, generally named or numbered, where a vessel may moor or anchor. (IHO Concept register)."
IMO0232,Berth name,"The name used to identify a berth. A berth is defined as a place, generally named or numbered, where a vessel may moor or anchor. (IHO Concept register)."
IMO0233,Berth position,"A name, number or description used to identify a berth position. A berth position is a specific position within a berth where a vessel may be moored or anchored. (IHO Concept register)."
IMO0233,Berth position,"A name, number or description used to identify a berth position. A berth position is a specific position within a berth where a vessel may be moored or anchored. (IHO Concept register)."
IMO0234,Date and time of arrival - requested,"The date and time the ship is requested to arrive at a specified location, RTA."
IMO0235,Date and time of arrival - planned,"The date and time the ship plans to arrive at a specific location, PTA."
IMO0236,Date and time of departure - requested,"The date and time the ship is requested to depart from a specified location, RTD."
IMO0237,Date and time of departure - planned,"The date and time the ship plans to depart from a specific location, PTD."
IMO0238,Number of ill persons,Number of ill persons during the voyage.
IMO0239,Ship company street and number,The street and number of the referenced company.
IMO0240,Ship company postcode,An alphanumerical code representing the postal area of the referenced company.
IMO0241,Ship company city,The city of the referenced company.
IMO0242,Ship company country code,A code representing the country address of the referenced company.
IMO0243,Ship company country sub-division name,The country sub-division of the referenced company.
IMO0244,Stowaway date and time found onboard,Date and time when the referenced stowaway was found onboard.
IMO0245,"Stowaway port facility of boarding, coded",The code representing the port facility from which the referenced stowaway boarded the ship.
IMO0246,Stowaway port facility of boarding name,The name of the port facility from which the referenced stowaway boarded the ship.
IMO0247,Stowaway berth of boarding name,The name of the berth at which the referenced stowaway boarded the ship.
IMO0248,"Stowaway country of boarding, coded",A code representing the country at which the referenced stowaway boarded the ship.
IMO0250,Stowaway Intended final destination name,The name of the final destination that the stowaway intended to go to.
IMO0251,Stowaway stated reasons for boarding the ship,"Reasons stated by the stowaway for boarding the ship. Note: If the stowaway declares himself to be a refugee or an asylum seeker, this information shall be treated as confidential to the extent necessary to the security of the stowaway."
IMO0252,Stowaway name by which known,The name of the referenced stowaway by which he or she is known.
IMO0253,Stowaway claimed nationality,A code representing the nationality claimed by the stowaway.
IMO0254,Person home address street and number,The street and number of the referenced person's home address.
IMO0255,Person home address postcode,An alphanumerical code representing the postal area of the referenced person's home address.
IMO0256,Person home address city,The city address of the referenced person's home address.
IMO0257,Person home address country sub-division name,The country sub-division of the referenced person's home address.
IMO0258,"Person home address country, coded",A code representing the country of the referenced person's home address.
IMO0259,Person identity or travel document issue date,The issue date shown on the referenced person's identity document.
IMO0260,Stowaway photograph,Photograph of the stowaway.
IMO0261,Stowaway physical description,A physical description of the stowaway.
IMO0262,Stowaway first spoken language,A code representing the referenced stowaway's first spoken language.
IMO0263,Stowaway first reading language,A code representing the referenced stowaway's first reading language.
IMO0264,Stowaway first written language,A code representing the referenced stowaway's first written language.
IMO0265,Stowaway other spoken language,A code representing another language spoken by the referenced stowaway.
IMO0266,Stowaway other read language,A code representing another language read by the referenced stowaway.
IMO0267,Stowaway other written language,A code representing another language written by the referenced stowaway.
IMO0268,Stowaway method of boarding,"Method of boarding, including other persons involved (e.g. crew, port workers, etc.) and whether the stowaway was secreted in cargo/container or hidden in the ship."
IMO0269,Stowaway possessions,Inventory of the stowaway’s possessions.
IMO0270,Stowaway statement,Statement made by the stowaway.
IMO0271,Stowaway Master statement,Statement made by the Master (including any observations on the credibility of the information provided by the stowaway).
IMO0272,Care provided to the stowaway,"Care provided to the stowaway (first aid, clothing, food)."
IMO0273,Stowaway interview date,Date of interview of the stowaway.
IMO0274,"Ship satellite service provider, coded",The ships recognized mobile satellite service provider.
IMO0275,Message receiver identifier,"The identifier of the party receiving the message (the system). Identification of specific receiver the message is intended for. This field should include  the possibility of ""any"" or ""all"" to identify a message that have no special receiver."
IMO0276,Message validity period,"Validity period of the message after it is sent. After this period, the client and server should cancel any outstanding actions at this point, and if appropriate, restart the request sequence."
IMO0277,Message identifier,The identifier of a message. Used for asynchronous error messages or acknowledgements related to this message.
IMO0278,Message return contact point,"Address to which acknowledgements shall be delivered. This can be for instance an URI, and e-mail address.  If the ship chooses to poll the server, no text is given."
IMO0279,"Type of message return contact point method, coded",This code represents the method by which the client wants to get the replies from the server.
IMO0280,Reference message identifier,The reference to the client's message to which the message is providing a response.
IMO0281,"Message status, coded",This code represents the status of received message.
IMO0282,Message status description,A description of the details of why a message failed to be accepted.
IMO0283,"Service request status, coded","This code represents the status of the service request that the server returns to the client in acknowledgement and response to the request, e.g. error in data, port call denied, port call in progress, clearance successfully completed etc. If there are errors, a more specific error response information is given in the service status explanation, text."
IMO0284,Service request status description,A description of the status of the service request.
IMO0285,Service name,The name of the maritime service.
IMO0285,Service name,The name of the maritime service.
IMO0286,"Service, coded",A code representing the maritime service.
IMO0286,"Service, coded",A code representing the maritime service.
IMO0287,Service provider name,The name of the party that delivers the maritime service.
IMO0287,Service provider name,The name of the party that delivers the maritime service.
IMO0288,Planned service indicator,A “yes/no” indicator whether the maritime service is scheduled prior to the port call.
IMO0288,Planned service indicator,A “yes/no” indicator on whether the maritime service is scheduled prior to the port call.
IMO0289,Position for the service,The berth or anchor name for the delivery of the maritime service in port.
IMO0289,Position for the service,The berth or anchor name for the delivery of the maritime service in port.
IMO0290,Other position reference,Further position information such as berth position or bollard number.
IMO0290,Other position reference,Further position information such as berth position or bollard number.
IMO0291,Service provider contact family name,The family name of the contact in the maritime service company.
IMO0291,Service provider contact family name,The family name of the contact in the maritime service company.
IMO0292,Service contact landline number,The landline telephone number for the maritime service company.
IMO0292,Service contact landline number,The landline telephone number for the maritime service company.
IMO0293,Service contact mobile number,The mobile number for the maritime service company.
IMO0293,Service contact mobile number,The mobile number for the maritime service company.
IMO0294,Service contact email,The contact email address for the maritime service company.
IMO0294,Service contact email,The contact email address for the maritime service company.
IMO0295,Service URL,Maritime service provider end-point to the maritime service.
IMO0295,Service URL,Maritime service provider end-point to the maritime service.
IMO0296,Service booking number,The service booking number given by the maritime service provider.
IMO0296,Service booking number,The service booking number given by the maritime service provider.
IMO0297,Date and time of service start - estimated,"The date and time a service provider estimates a specified maritime service will start, ETS."
IMO0297,Date and time of service start - estimated,"The date and time a service provider estimates a specified maritime service will start, ETS."
IMO0298,Date and time of service start - requested,"The date and time a ship requests a service provider to start a specified maritime service, RTS."
IMO0298,Date and time of service start - requested,"The date and time a ship requests a service provider to start a specified maritime service, RTS."
IMO0299,Date and time of service start - planned,"The date and time a service provider plans to start a specified service, PTS."
IMO0299,Date and time of service start - planned,"The date and time a service provider plans to start a specified service, PTS."
IMO0300,Date and time of service start - actual,"The date and time a maritime service provider starts a specified service, ATS."
IMO0300,Date and time of service start - actual,"The date and time a maritime service provider starts a specified service, ATS."
IMO0301,Date and time of service completion - estimated,"The date and time a service provider estimates a specified maritime service will be completed, ETC."
IMO0301,Date and time of service completion - estimated,"The date and time a service provider estimates a specified maritime service will be completed, ETC."
IMO0302,Date and time of service completion - requested,"The date and time a ship requests a service provider to complete a specified maritime service, RTC."
IMO0302,Date and time of service completion - requested,"The date and time a ship requests a service provider to complete a specified maritime service, RTC."
IMO0303,Date and time of service completion - planned,"The date and time a service provider plans to complete a specified maritime service, PTC."
IMO0303,Date and time of service completion - planned,"The date and time a service provider plans to complete a specified maritime service, PTC."
IMO0304,Date and time of service completion - actual,"The date and time a service provider completes a specified maritime service, ATC."
IMO0304,Date and time of service completion - actual,"The date and time a service provider completes a specified maritime service, ATC."
IMO0305,Message function code,Code providing the function of a message.
IMO0306,Certificate identifier,"The identifier of the certificate, defined by the issuing organization."
IMO0306,Certificate identifier,"The identifier of the certificate, defined by the issuing organization."
IMO0307,"Certificate type, coded",A code representing the certificate type.
IMO0307,"Certificate type, coded",A code representing the certificate type.
IMO0308,"Certificate type acronym, coded",An acronym representing the certificate type.
IMO0308,"Certificate type acronym, coded",An acronym representing the certificate type.
IMO0309,"Certificate category, coded","Certificate categories are defined dependent on
•	the status of the referred regulation
•	the authorization of the issuing organization."
IMO0309,"Certificate category, coded","Certificate categories are defined dependent on
•	the status of the referred regulation
•	the authorization of the issuing organization."
IMO0310,Certificate description,A description of the certificate.
IMO0310,Certificate description,Further description of the certificate.
IMO0311,"Certificate status, coded",A code representing the status of the certificate.
IMO0311,"Certificate status, coded",A code representing the status of the certificate.
IMO0312,Certificate status date,Date when the current status has become effective.
IMO0312,Certificate status date,Date when the current status has become effective.
IMO0313,Active certificate sequence number,A sequence number assigned to the active certificate if there is more than one certificate of the same type. This number is defined by the certificate issuer.
IMO0313,Active certificate sequence number,A sequence number assigned to the active certificate if there is more than one certificate of the same type. This number is defined by the certificate issuer.
IMO0314,"Certificate issuer type, coded",Type of organization that has issued the certificate.
IMO0314,"Certificate issuer type, coded",Type of organization that has issued the certificate.
IMO0315,Certificate issuer flag State name,The name of the entity within the flag State authorized to issue the certificate.
IMO0315,Certificate issuer flag State name,The name of the entity within the flag State authorized to issue the certificate.
IMO0316,Certificate issuer identifier,The identifier representing the body/organization that issued the certificate (in case it is a RO/RSO/Class).
IMO0316,Certificate issuer identifier,The identifier representing the body/organization that issued the certificate (in case it is a RO/RSO/Class).
IMO0317,"Certificate validity type, coded",A code to indicate the type of validity of the certificate.
